DATE,Open,High,Low,Close,Adj Close,Volume
558,11000.09961,11000.09961,10796.5,10817.59961,10817.59961,482000
559,10872.79981,10885.15039,10804.84961,10840.65039,10840.65039,519200
560,10845.2002,10845.2002,10670.25,10704.79981,10704.79981,642600
561,10746.79981,11381.90039,10691,11274.2002,11274.2002,1356800
562,11542.7002,11694.84961,11471.34961,11600.2002,11600.2002,882800
563,11590.7002,11655.04981,11539.2002,11588.2002,11588.2002,651700
564,11564.84961,11564.9502,11416.09961,11440.2002,11440.2002,629100
565,11469.84961,11610.84961,11466.34961,11571.2002,11571.2002,844500
566,11556.34961,11593.59961,11499.75,11512.40039,11512.40039,650000
567,11491.15039,11508.25,11390.79981,11474.4502,11474.4502,756800
568,11515.40039,11554.2002,11247.90039,11359.90039,11359.90039,1305400
569,11322.25,11370.40039,11257.34961,11314,11314,1017500
570,11388.4502,11400.29981,11158.34961,11174.75,11174.75,928500
571,11196.2002,11233.84961,11112.65039,11126.40039,11126.40039,733200
572,11152.9502,11321.59961,11090.15039,11313.29981,11313.29981,741100
573,11280.5,11293.34961,11208.54981,11234.54981,11234.54981,562000
574,11257.7002,11362.90039,11189.40039,11305.04981,11305.04981,737800
575,11335.90039,11420.4502,11290.04981,11341.15039,11341.15039,587600
576,11360.84961,11462.34961,11342.09961,11428.29981,11428.29981,527400
577,11464.9502,11481.04981,11411.09961,11464,11464,533500
578,11466.29981,11599.09961,11439.65039,11586.34961,11586.34961,797600
579,11580.29981,11684.7002,11553.15039,11661.84961,11661.84961,853400
580,11657.15039,11714.34961,11573.65039,11588.34961,11588.34961,867600
581,11596.2002,11651.59961,11554.40039,11604.09961,11604.09961,664200
582,11661.65039,11679.59961,11534.65039,11582.59961,11582.59961,700500
583,11646.15039,11646.90039,11490.75,11583.90039,11583.90039,812000
584,null,null,null,null,null,null
585,11643.9502,11809.40039,11627.34961,11786.84961,11786.84961,951700
586,11883.90039,11883.9502,11784.4502,11844.09961,11844.09961,725200
587,11890.4502,11945,11855.09961,11877.4502,11877.4502,1414800
588,11886.59961,11918.29981,11843.34961,11890.59961,11890.59961,855300
589,11928.90039,11989.15039,11905.34961,11941.29981,11941.29981,823100
590,11974.59961,11978.9502,11861.90039,11917.2002,11917.2002,632000
591,11911.5,12002.90039,11850.25,11966.04981,11966.04981,603400
592,12021.09961,12021.40039,11946.84961,12012.04981,12012.04981,563000
593,11987.15039,12034.15039,11888.75,11908.15039,11908.15039,789300
594,11879.2002,11932.65039,11853.9502,11913.4502,11913.4502,549000
595,11908.29981,11946.79981,11823.2002,11840.4502,11840.4502,659000
596,11858.75,11895.65039,11802.65039,11872.09961,11872.09961,559500
597,11904.2002,11973.65039,11879.25,11895.4502,11895.4502,580200
598,11915.15039,11946.2002,11867.59961,11884.5,11884.5,514400
599,11919.4502,11958.84961,11881.75,11940.09961,11940.09961,613900
600,12004.75,12038.59961,11966.04981,11999.09961,11999.09961,646700
601,12025.65039,12028.2002,11956.90039,11968.40039,11968.40039,557700
602,11967.29981,11968.09961,11883.5,11914.40039,11914.40039,486800
603,11922.4502,12084.5,11919.75,12073.75,12073.75,534300
604,12110.2002,12132.4502,12006.34961,12037.7002,12037.7002,1201300
605,12068.5,12114.90039,12055.15039,12100.7002,12100.7002,584200
606,12132.09961,12158.79981,12099.9502,12151.15039,12151.15039,620500
607,12146.2002,12147.40039,12017.40039,12056.04981,12056.04981,804400
608,12137.04981,12137.15039,12023.7002,12048.2002,12048.2002,720900
609,12067.65039,12068.59961,11956.40039,11994.2002,11994.2002,605800
610,11969.9502,12054.7002,11935.29981,12043.2002,12043.2002,747200
611,12071.25,12081.2002,11998.75,12018.40039,12018.40039,562200
612,12047.34961,12057.04981,11888.84961,11921.5,11921.5,609200
613,11939.09961,11981.9502,11888.04981,11937.5,11937.5,599100
614,11950.5,11953.2002,11844.7002,11856.79981,11856.79981,650200
615,11867.34961,11923.2002,11832.29981,11910.15039,11910.15039,997700
616,11944.29981,12005.5,11934,11971.79981,11971.79981,752600
617,12026.40039,12098.84961,12023.59961,12086.7002,12086.7002,597700
618,12131.34961,12134.65039,12046.29981,12053.9502,12053.9502,437700
619,12082.4502,12182.75,12070.34961,12165,12165,499600
620,12197,12237.7002,12163.4502,12221.65039,12221.65039,518900
621,12223.40039,12268.34961,12191.15039,12259.7002,12259.7002,623100
622,12266.4502,12293.90039,12252.75,12271.79981,12271.79981,810700
623,12235.4502,12287.15039,12213.25,12262.75,12262.75,604800
624,12269.25,12283.7002,12202.09961,12214.54981,12214.54981,470300
625,12211.84961,12221.54981,12118.84961,12126.54981,12126.54981,520300
626,12172.90039,12258.4502,12157.90039,12245.79981,12245.79981,383800
627,12274.90039,12286.4502,12213.79981,12255.84961,12255.84961,411100
